iter	RMSE
0	1.964698282
1	1.940411889
2	1.915407868
3	1.890192398
4	1.867440324
5	1.841866053
6	1.819155531
7	1.797026112
8	1.775814057
9	1.752188467
10	1.733918901
11	1.712632093
12	1.695977531
13	1.674277912
14	1.657804213
15	1.640139327
16	1.618049665
17	1.598600643
18	1.578378832
19	1.561845039
20	1.543900976
21	1.528978436
22	1.510300666
23	1.492135813
24	1.477046609
25	1.458528206
26	1.441531016
27	1.425763168
28	1.411307778
29	1.397365781
30	1.381657085
31	1.368050664
32	1.354897563
33	1.343254151
34	1.329053398
35	1.315836163
36	1.302857195
37	1.292105257
38	1.280607265
39	1.269303814
40	1.257851957
41	1.247972088
42	1.236027421
43	1.224497144
44	1.212513642
45	1.201754165
46	1.190817663
47	1.179880215
48	1.170511001
49	1.160619091
50	1.153586606
51	1.143560189
52	1.133398242
53	1.124020825
54	1.114694222
55	1.107416552
56	1.097688509
57	1.088540079
58	1.079912307
59	1.07001666
60	1.062052884
61	1.05510668
62	1.04689765
63	1.040181581
64	1.032710852
65	1.023669032
66	1.017605774
67	1.009731076
68	1.003222555
69	0.9961367053
70	0.9895174515
71	0.9824640674
72	0.9760609974
73	0.9683929398
74	0.9640438379
75	0.9570482782
76	0.9507099635
77	0.9459298796
78	0.9393724434
79	0.9333301753
80	0.9279165318
81	0.9216990764
82	0.9150314924
83	0.9090513686
84	0.9036863514
85	0.8982707242
86	0.8930951378
87	0.8877414881
88	0.8819843405
89	0.8749909664
90	0.8696969134
91	0.8662296271
92	0.8615305646
93	0.8547373251
94	0.8478719211
95	0.8425970232
96	0.8389971082
97	0.8328788624
98	0.8272223811
99	0.8230212794
100	0.818876346
101	0.8130659899
102	0.8098122823
103	0.8066307993
104	0.8034950857
105	0.7989528662
106	0.794199437
107	0.7909823056
108	0.7869761102
109	0.7824214891
110	0.7785719759
111	0.7743345264
112	0.7695853857
113	0.765245882
114	0.7608294191
115	0.7549919024
116	0.7514295599
117	0.7463716955
118	0.7408413162
119	0.73469726
120	0.7298694978
121	0.7265068764
122	0.7232742536
123	0.7198441125
124	0.715523109
125	0.7123199572
126	0.7076356742
127	0.7040102359
128	0.6992795124
129	0.6950062636
130	0.6926892664
131	0.6882062342
132	0.6848085362
133	0.6820054337
134	0.6784756688
135	0.6752585726
136	0.6719904892
137	0.6675679558
138	0.6638305334
139	0.6600469
140	0.6565436856
141	0.6539009977
142	0.6494169766
143	0.6455270754
144	0.6423225316
145	0.6393621393
146	0.6370097474
147	0.6338087712
148	0.6303263027
149	0.6280968338
150	0.6258136668
151	0.6233429461
152	0.619747431
153	0.6143774562
154	0.6113688834
155	0.6081346144
156	0.6055583664
157	0.6047395936
158	0.6021149537
159	0.5977859442
160	0.5946940144
161	0.5923030097
162	0.5902648102
163	0.5866998512
164	0.5842532617
165	0.5817747042
166	0.5780660278
167	0.5757768503
168	0.5726459643
169	0.5695167073
170	0.5662894997
171	0.5633317899
172	0.5607031248
173	0.5594076234
174	0.5555358923
175	0.5517381704
176	0.549923726
177	0.5469782523
178	0.5456666467
179	0.5437512349
180	0.5404237141
181	0.5393910656
182	0.5352177486
183	0.5335599245
184	0.53205119
185	0.5295401153
186	0.5273410786
187	0.5258264432
188	0.5238832817
189	0.5214279952
190	0.5198365665
191	0.5170639415
192	0.514159852
193	0.5115027583
194	0.509700709
195	0.5073315662
196	0.5057051851
197	0.5045042157
198	0.5022155762
199	0.4975872282
200	0.4953030501
201	0.4942612599
202	0.4918501938
203	0.4898636587
204	0.4872737942
205	0.4857618645
206	0.4835370884
207	0.4822565809
208	0.480599013
209	0.4786236448
210	0.476787194
211	0.4758285406
212	0.4749014307
213	0.4737955283
214	0.4727622183
215	0.471736377
216	0.4705348565
217	0.4670486438
218	0.4654545962
219	0.4644022207
220	0.4626432779
221	0.4611131869
222	0.4599747965
223	0.4587163635
224	0.4575579313
225	0.454832057
226	0.4518049828
227	0.4483839645
228	0.4469745824
229	0.4458001706
230	0.4426383046
231	0.4415774223
232	0.4385403877
233	0.4356381297
234	0.4346013765
235	0.4335715797
236	0.4325830471
237	0.430637141
238	0.4296419572
239	0.4287565062
240	0.4257904255
241	0.4237712233
