iter	Passed	Remaining
0	73	73115
1	89	44508
2	96	31946
3	99	24811
4	102	20323
5	112	18555
6	117	16709
7	122	15217
8	126	13954
9	132	13165
10	137	12392
11	177	14630
12	184	14038
13	190	13417
14	195	12830
15	202	12466
16	223	12936
17	227	12430
18	233	12054
19	235	11559
20	241	11235
21	244	10880
22	248	10574
23	251	10223
24	255	9973
25	258	9680
26	263	9510
27	266	9251
28	268	9006
29	272	8799
30	285	8919
31	289	8756
32	293	8598
33	296	8416
34	298	8234
35	301	8062
36	306	7986
37	311	7883
38	313	7725
39	315	7583
40	318	7456
41	321	7331
42	348	7750
43	375	8153
44	379	8064
45	383	7957
46	389	7889
47	393	7800
48	395	7681
49	398	7566
50	411	7664
51	415	7566
52	426	7613
53	436	7650
54	446	7674
55	449	7578
56	455	7529
57	460	7472
58	463	7398
59	469	7354
60	476	7329
61	490	7414
62	494	7352
63	500	7318
64	503	7246
65	508	7189
66	521	7256
67	523	7174
68	525	7095
69	528	7019
70	531	6955
71	536	6911
72	630	8005
73	640	8017
74	643	7932
75	647	7877
76	704	8450
77	720	8515
78	723	8435
79	726	8353
80	729	8272
81	735	8238
82	746	8250
83	751	8196
84	754	8120
85	756	8041
86	759	7965
87	763	7908
88	766	7842
89	769	7779
90	771	7706
91	774	7640
92	777	7583
93	779	7514
94	783	7463
95	786	7409
96	791	7364
97	837	7704
98	843	7677
99	847	7630
100	858	7645
101	875	7711
102	880	7671
103	885	7633
104	897	7650
105	901	7601
106	958	7996
107	993	8202
108	998	8163
109	1001	8100
110	1004	8044
111	1009	8007
112	1014	7964
113	1029	8001
114	1031	7941
115	1034	7881
116	1038	7835
117	1043	7798
118	1047	7752
119	1050	7700
120	1056	7673
121	1062	7644
122	1064	7592
123	1067	7544
124	1071	7502
125	1075	7461
126	1079	7421
127	1082	7371
128	1085	7331
129	1088	7285
130	1091	7239
131	1093	7193
132	1098	7162
133	1102	7123
134	1105	7081
135	1110	7054
136	1115	7027
137	1122	7009
138	1127	6983
139	1146	7040
140	1151	7014
141	1155	6984
142	1163	6970
143	1173	6975
144	1177	6943
145	1182	6916
146	1186	6885
147	1192	6865
148	1235	7058
149	1243	7048
150	1253	7046
151	1259	7028
152	1273	7048
153	1305	7170
154	1309	7139
155	1428	7729
156	1436	7711
157	1440	7678
158	1448	7660
159	1454	7633
160	1468	7654
161	1485	7686
162	1492	7664
163	1500	7649
164	1508	7634
165	1513	7602
166	1517	7570
167	1526	7558
168	1528	7517
169	1532	7482
170	1543	7483
171	1546	7444
172	1550	7410
173	1555	7381
174	1557	7342
175	1561	7309
176	1563	7271
177	1569	7247
178	1572	7212
179	1576	7182
180	1579	7146
181	1591	7150
182	1594	7116
183	1596	7081
184	1603	7062
185	1605	7026
